Severity,Start_Lat,Start_Lng,Distance(mi),Side,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Speed(mph),Precipitation(in),Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Civil_Twilight
2,39.673203,-84.221886,0.01,1,30.9,22.8,76.0,29.81,6.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.76244,-84.20507,0.01,1,30.0,24.1,92.0,29.82,1.8,5.8,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.79166,-84.169342,0.0,0,31.1,25.4,88.0,29.86,6.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.72757,-84.13549,0.0,0,31.1,25.4,88.0,29.86,6.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.099171,-83.134499,0.01,1,32.0,23.0,92.0,29.78,2.5,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,38.455898,-81.935623,0.01,1,35.1,27.9,89.0,29.81,2.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.764778,-84.177193,0.01,1,32.4,25.3,79.0,29.81,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,40.016014,-82.903442,0.01,1,32.0,24.2,75.0,29.82,7.0,9.2,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,39.686901,-83.911812,0.01,1,30.4,26.9,90.0,30.08,10.0,3.5,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,39.74403,-84.214638,0.01,0,30.0,23.2,88.0,30.07,6.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.955738,-83.002953,0.01,1,28.4,21.2,80.0,30.05,7.0,6.9,0.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,38.98587,-84.052551,0.01,1,30.9,27.5,91.0,30.07,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,41.12336,-81.652626,0.01,1,28.0,21.7,81.0,30.03,7.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,41.403664,-82.13942,0.01,1,28.0,20.8,85.0,30.03,6.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.719009,-84.214615,0.01,1,30.0,24.1,82.0,30.07,5.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.063995,-81.572945,0.01,0,28.0,21.7,81.0,30.03,7.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.741764,-84.209923,0.0,1,30.0,22.4,92.0,30.14,3.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.933804,-82.789444,0.01,1,30.0,26.5,79.0,30.08,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.673203,-84.221886,0.01,1,30.0,25.2,85.0,30.12,3.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,38.997852,-84.043739,1.73,1,31.1,24.5,92.0,30.11,7.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.080402,-82.877457,0.01,1,30.2,23.4,75.0,30.08,5.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.04023,-81.608711,0.01,1,28.0,22.8,81.0,30.06,6.0,4.6,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2,39.749664,-84.201012,0.0,0,30.7,24.9,90.0,30.14,4.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.749916,-84.139359,0.01,1,30.7,24.9,90.0,30.14,4.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.039204,-81.631744,0.01,1,28.4,21.2,80.0,30.02,6.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.993484,-82.036003,0.0,0,27.0,18.0,85.0,30.08,4.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.407391,-81.646767,0.01,1,30.0,21.1,82.0,30.05,6.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.732441,-84.224243,0.01,1,30.0,22.4,96.0,30.18,2.5,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.773193,-84.187454,0.01,1,31.1,25.4,92.0,30.18,6.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.792931,-84.215195,0.01,0,32.0,26.4,88.0,30.2,4.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.948299,-82.047081,0.01,1,33.1,27.7,72.0,30.16,5.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.67263,-84.216522,0.0,0,32.0,26.4,82.0,30.18,4.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.172302,-83.64917,0.01,1,33.1,23.9,82.0,30.14,3.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.615208,-84.227318,0.01,1,35.1,32.2,67.0,30.23,9.0,3.5,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.790604,-84.251404,0.01,0,36.0,28.5,59.0,30.23,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.968788,-83.003754,0.0,1,35.1,26.4,61.0,30.26,9.0,12.7,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.905334,-82.968689,0.01,0,31.1,27.7,69.0,30.39,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,41.414131,-81.632141,0.01,1,19.0,11.1,71.0,30.52,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,39.933804,-82.789444,0.01,1,28.0,21.7,78.0,30.48,9.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.42181,-81.734482,0.01,1,12.9,6.9,88.0,30.58,8.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.422199,-81.843018,0.01,1,12.9,6.9,88.0,30.58,8.0,3.5,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,40.004749,-82.867638,0.01,1,27.0,23.0,75.0,30.51,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.626396,-84.207687,0.01,1,27.0,23.0,78.0,30.48,5.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.936871,-82.936317,0.01,1,27.0,23.0,75.0,30.51,7.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.420666,-81.816444,0.01,1,16.0,6.3,81.0,30.62,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.819809,-84.187103,0.0,0,30.9,27.5,79.0,30.51,5.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,41.371895,-81.820786,0.01,1,16.0,6.3,81.0,30.62,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.999187,-83.075813,0.01,0,27.0,19.5,85.0,30.53,8.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,41.423275,-81.76001,0.01,1,16.0,6.3,81.0,30.62,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,39.993843,-82.985054,0.01,1,30.0,23.2,72.0,30.53,7.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.36974,-81.821457,0.01,1,21.9,12.5,63.0,30.62,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.420506,-81.816078,0.01,1,21.9,12.5,63.0,30.62,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.407391,-81.646767,0.01,1,24.1,17.0,62.0,30.59,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.75782,-83.303154,0.01,1,32.0,26.4,75.0,30.51,7.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.84182,-84.189606,0.01,1,39.0,33.4,60.0,30.53,9.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.695045,-84.104195,0.0,1,37.9,31.5,57.0,30.47,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.754223,-84.224075,0.01,1,39.9,33.4,53.0,30.45,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.759544,-84.191811,0.01,1,39.9,33.4,53.0,30.45,10.0,10.4,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.755566,-84.180534,0.01,1,39.9,33.4,53.0,30.45,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.960938,-84.189583,0.01,1,37.9,28.2,60.0,30.41,10.0,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.609039,-84.155869,0.0,0,37.9,28.9,55.0,30.41,10.0,16.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.953472,-82.960274,0.01,1,35.1,29.3,57.0,30.47,9.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.106297,-83.036079,0.01,1,36.0,28.5,59.0,30.43,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.812687,-84.227348,0.01,1,39.9,30.8,63.0,30.13,10.0,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,39.724258,-84.213142,0.01,0,39.9,32.9,60.0,30.12,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.929554,-82.995773,0.01,0,35.4,28.4,68.0,30.18,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.976398,-83.119225,0.01,1,34.9,27.1,70.0,30.16,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.915928,-82.982468,0.01,1,35.4,29.7,68.0,30.15,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.009884,-84.173073,0.01,0,43.5,37.1,57.0,30.11,10.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,39.737701,-84.134987,0.0,0,41.0,34.7,61.0,30.1,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.974285,-82.961174,0.0,0,36.0,27.5,57.0,30.16,10.0,12.7,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2,40.152611,-82.686996,0.01,0,37.0,28.9,57.0,30.15,10.0,12.7,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.786629,-84.18869,0.01,0,42.8,37.0,60.0,30.08,10.0,10.4,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,40.016937,-83.156601,0.01,1,37.0,29.3,62.0,30.12,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,40.003746,-83.153893,0.01,1,37.0,29.3,62.0,30.12,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,39.736061,-84.093002,0.01,1,42.8,37.0,60.0,30.08,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.375961,-83.647453,0.0,0,43.0,34.5,53.0,29.98,10.0,19.6,0.0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
3,39.953648,-82.960373,0.01,1,37.0,28.9,57.0,30.15,10.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.266499,-82.927544,0.01,1,46.4,39.2,57.0,29.95,10.0,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.762531,-84.1427,0.01,1,29.5,23.4,94.0,30.14,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,41.428753,-83.610367,0.0,1,28.0,21.7,85.0,30.21,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.985336,-82.789841,0.01,1,30.9,27.5,82.0,30.16,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.955517,-82.876877,0.01,1,30.9,27.5,82.0,30.16,10.0,3.5,0.0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
2,39.858089,-82.827904,0.01,1,32.0,26.4,91.0,30.15,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.933804,-82.789444,0.01,1,33.1,26.9,85.0,30.17,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.136345,-83.00573,0.01,0,28.9,25.2,96.0,30.18,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.76516,-84.157234,0.01,1,27.9,24.0,97.0,30.18,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.772438,-84.142181,0.0,1,27.9,24.0,97.0,30.18,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.232101,-84.160141,0.01,0,32.5,28.1,94.0,30.14,10.0,4.6,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
3,40.061661,-82.99807,0.01,1,28.9,25.2,96.0,30.18,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.082397,-82.906921,0.01,1,35.1,30.1,76.0,30.17,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.317173,-84.220894,0.01,1,36.0,33.3,79.0,30.17,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.690781,-84.205147,0.0,1,34.0,26.6,79.0,30.16,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.803726,-84.185143,0.0,1,33.1,26.9,89.0,30.18,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.838779,-84.258316,0.01,1,36.0,29.6,82.0,30.18,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.76144,-84.167038,0.0,1,37.0,32.4,77.0,30.18,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.740906,-84.182121,0.01,1,37.0,32.4,77.0,30.18,10.0,5.8,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.81963,-84.198273,0.01,1,36.0,29.6,82.0,30.18,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.79969,-84.186996,0.0,0,41.0,34.3,62.0,30.17,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.72364,-84.1418,0.01,0,42.8,38.0,57.0,30.13,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.754055,-84.138893,0.01,0,42.8,38.0,57.0,30.13,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.831997,-84.223694,0.01,0,43.0,38.8,53.0,30.16,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.403744,-82.282776,0.01,1,41.0,34.3,62.0,30.18,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.933804,-82.789444,0.01,1,30.9,27.5,72.0,30.07,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.571163,-84.202606,0.0,0,30.0,21.1,69.0,30.02,10.0,10.4,0.0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2,39.175053,-84.236313,0.01,0,31.8,28.5,79.0,30.0,10.0,3.5,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.977322,-83.021095,0.01,1,28.9,21.9,69.0,30.07,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.175728,-84.180763,0.01,1,32.0,26.4,79.0,29.98,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.688652,-84.127998,0.01,1,30.9,22.2,67.0,30.01,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.628288,-84.226151,0.01,1,30.9,22.2,67.0,30.01,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.96764,-83.060814,0.01,1,33.8,27.0,65.0,30.01,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.797958,-84.255135,0.01,1,35.1,27.9,61.0,30.09,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.783669,-84.155045,0.01,1,38.3,30.9,53.0,30.08,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.989044,-83.049088,0.01,0,39.9,34.5,55.0,30.09,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.819721,-84.191528,0.01,0,39.0,30.6,55.0,30.08,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,41.40274,-81.817856,0.01,1,36.0,26.7,70.0,30.07,10.0,15.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,39.833824,-83.100853,0.01,1,44.6,39.7,73.0,29.84,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.713467,-84.216095,0.01,1,41.0,31.6,93.0,29.43,4.0,20.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,39.640202,-84.235283,0.01,1,42.1,33.9,89.0,29.4,3.0,17.3,0.06,0,0,1,0,0,0,0,0,0,0,0,1,0,0
3,39.733723,-84.204971,0.01,1,37.9,27.3,100.0,29.46,2.5,21.9,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,41.351006,-83.622826,0.01,1,33.1,23.0,85.0,29.72,3.0,15.0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.845287,-83.993217,0.01,1,39.2,29.8,100.0,29.45,6.0,18.4,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.607788,-84.228088,0.01,1,42.1,34.9,92.0,29.37,4.0,13.8,0.09,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,39.873238,-84.137207,0.01,1,40.6,34.8,99.0,29.4,9.0,9.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,40.058132,-82.922752,0.01,1,42.8,38.0,87.0,29.47,9.0,8.1,0.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0
3,41.420975,-81.689758,0.01,1,33.8,23.9,100.0,29.66,2.5,15.0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.788414,-84.183693,0.94,1,40.6,34.8,99.0,29.4,9.0,9.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.836643,-84.060753,0.01,1,40.6,34.8,99.0,29.4,9.0,9.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.039829,-81.662872,0.01,1,39.9,32.5,86.0,29.59,4.0,12.7,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,38.581139,-82.004562,0.01,1,49.0,45.0,100.0,28.62,10.0,10.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.754055,-84.17588,0.01,1,40.6,34.8,99.0,29.4,9.0,9.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.929844,-83.116486,0.01,1,42.8,37.5,100.0,29.42,5.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.962147,-83.092667,0.01,0,42.8,37.5,100.0,29.42,5.0,9.2,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,39.697266,-84.218781,0.01,0,44.1,36.8,89.0,29.32,5.0,16.1,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.993092,-81.662689,0.01,1,39.9,32.5,89.0,29.55,4.0,12.7,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,39.845287,-83.993217,0.01,1,41.0,33.1,99.0,29.37,3.0,15.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.041447,-81.565163,0.01,1,39.9,32.5,89.0,29.55,4.0,12.7,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.407391,-81.646767,0.01,1,35.1,24.5,92.0,29.6,2.0,18.4,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.037266,-81.583786,0.01,1,39.9,32.5,89.0,29.55,4.0,12.7,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.598721,-84.161491,0.01,1,44.1,37.1,93.0,29.31,1.8,15.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,40.018669,-81.565704,0.0,0,46.0,40.6,86.0,29.46,7.0,11.5,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.724251,-84.213158,0.01,1,44.1,37.1,93.0,29.31,1.8,15.0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.758556,-84.177246,0.01,0,41.0,33.1,99.0,29.37,3.0,15.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.790565,-84.25914,0.01,1,39.0,30.6,96.0,29.33,1.8,15.0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.753105,-84.151581,0.01,0,41.0,33.1,99.0,29.37,3.0,15.0,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,40.301411,-83.06575,0.01,1,41.0,34.3,93.0,29.42,7.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.732567,-84.159004,0.01,0,45.0,37.9,90.0,29.29,2.0,16.1,0.06,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,41.351006,-83.622826,0.01,1,35.1,25.9,89.0,29.45,1.5,13.8,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.790565,-84.25914,0.01,1,44.1,39.0,100.0,29.24,8.0,9.2,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,38.892097,-84.208702,0.0,1,33.8,23.9,90.0,29.62,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.981602,-82.885704,0.0,1,30.2,20.2,93.0,29.51,3.0,12.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,41.337879,-82.216049,0.01,1,30.9,17.8,92.0,29.45,0.5,23.0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.747112,-84.163826,0.01,1,33.4,24.3,90.0,29.65,7.0,12.7,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.087536,-82.987419,0.01,1,32.0,21.6,88.0,29.56,9.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.782368,-84.203339,0.01,1,33.1,21.9,89.0,29.69,4.0,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,39.878578,-83.049774,0.01,1,33.8,24.3,87.0,29.64,7.0,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.669388,-84.22226,0.01,0,33.1,24.4,85.0,29.73,4.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.626953,-84.212288,0.01,1,35.1,24.5,78.0,29.79,2.5,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.812687,-84.227348,0.01,1,33.1,21.2,89.0,29.89,5.0,20.7,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.819839,-84.189087,0.01,1,33.1,21.2,89.0,29.89,5.0,20.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.953262,-83.017952,0.01,1,32.0,24.8,50.0,30.23,10.0,8.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.739319,-84.157219,0.01,1,34.3,27.0,52.0,30.25,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.91468,-83.016907,0.01,1,32.0,24.2,51.0,30.21,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41.037647,-81.584183,0.01,1,28.9,19.2,67.0,30.21,5.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.798611,-84.207466,0.01,0,33.1,24.9,61.0,30.24,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
3,40.083206,-82.906799,0.01,1,42.1,37.7,55.0,30.04,10.0,6.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.689022,-84.220665,0.01,0,41.0,33.1,82.0,29.83,6.0,15.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,39.778011,-84.200493,0.01,1,37.0,27.4,89.0,29.89,8.0,17.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,41.399147,-81.565674,0.0,1,36.0,24.7,86.0,29.74,10.0,21.9,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,39.596703,-84.238388,0.01,1,39.0,31.0,79.0,29.91,10.0,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,39.973015,-83.014801,0.01,1,37.9,29.6,70.0,29.9,10.0,13.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.777355,-84.19957,0.0,0,37.9,30.0,86.0,29.95,10.0,12.7,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41.139114,-81.597305,0.01,1,37.0,28.1,67.0,29.86,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.64724,-84.224319,0.01,0,39.0,32.8,70.0,30.01,4.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.745487,-84.165443,0.0,1,39.2,32.0,75.0,29.98,10.0,11.5,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,39.732552,-84.121979,0.0,0,39.2,30.8,75.0,30.0,10.0,15.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
2,39.778011,-84.200493,0.0,1,42.1,33.6,70.0,30.04,10.0,18.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.002552,-83.118355,0.01,1,44.6,37.2,66.0,30.01,10.0,17.3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,40.109913,-84.223648,0.01,1,44.6,41.4,66.0,29.98,10.0,5.8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.83847,-84.246307,0.01,1,46.0,41.0,58.0,30.02,10.0,10.4,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.627991,-84.170219,0.0,0,45.0,42.6,52.0,30.02,10.0,4.6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,39.945835,-83.061295,0.0,0,34.0,31.0,85.0,29.94,10.0,3.5,0.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,39.591389,-84.229485,0.01,0,37.9,32.1,68.0,29.92,10.0,8.1,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,39.790302,-84.213905,0.01,0,37.0,30.4,79.0,29.9,10.0,9.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
